WikidataOrg,Organisation,WikidataTalare,TalareString,Title,Start,WikidataSubject,GITHUB,Datum,Agenda,Slides,Url video av presentationen
https://www.wikidata.org/wiki/Q15694964,eHälsomyndigheten,,Michel Silvestri,Nationella datastrategin och EU:s dataområden,,,,2022-05-03,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-6/,,https://data.jobtechdev.se/videos/nosad-20220503-datadriven-utveckling-nationella-datastrategin-europeiska-dataomraden_2256x1444.mp4
https://www.wikidata.org/wiki/Q28256646,Entur (No),,Andreas Tryti,Åpen data standarder og kildekode i kollektivbransjen,,Q681263,,2022-09-07,https://www.goto10.se/event/samarbete-kring-oppen-kallkod-och-data-inom-kollektivtrafiksektorn/,https://gitlab.com/open-data-knowledge-sharing/wiki/-/wikis/uploads/48802504ae690e87b08910814ea3f226/Entur_-_NOSAD.pdf,
https://www.wikidata.org/wiki/Q112773726,eSAM,,Mikael Österlund,Så jobbar offentlig sektor open source,11:00,Q39162,,2022-04-20,https://www.goto10.se/event/hur-offentlig-sektor-jobbar-med-open-source/,,https://data.jobtechdev.se/videos/nosad-220420-offentlig-sektor-open-source_1920x890.mp4
https://www.wikidata.org/wiki/Q16635111,Etalab (Fr),https://www.wikidata.org/wiki/Q33837179,Bastien Guerry,Öppen programvara i andra länder,,Q39162,,,,,https://youtu.be/UvtX4e_qRWY
https://www.wikidata.org/wiki/Q8880,EU-kommissionen,https://www.wikidata.org/wiki/Q114314838,Antonio Biason,Nationella datastrategin och EU:s dataområden,33:00:00,,,2022-05-03,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-6/,,https://data.jobtechdev.se/videos/nosad-20220503-datadriven-utveckling-nationella-datastrategin-europeiska-dataomraden_2256x1444.mp4
https://www.wikidata.org/wiki/Q114243555,Foss-north,https://www.wikidata.org/wiki/Q114344417,Henrik Sandklef,Öppen källkod som bas i den digitala allemansrätten,,"Q39162, Q114350971",https://github.com/hesa,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q108304854,Foundation for Public Code Policy,https://www.wikidata.org/wiki/Q23899609,Jan Ainali,Policy för öppen programvara,54:20:00,Q39162,https://github.com/publiccodenet,,,,https://data.jobtechdev.se/videos/nosad-20210112-policy-oppen-programvara-myndigheter-1920x1080.mp4
https://www.wikidata.org/wiki/Q10501234,Föreningen Grävande Journalister,,,Remissvar öppnadatautredningen - arbetsmöte ej inspelat,,Q114351527,,,,,
https://www.wikidata.org/wiki/Q3372219,Försäkringskassan,,"Tomas Lagren,Linda Jacobsson",Policy för öppen programvara,07:15,Q39162,,,,,https://data.jobtechdev.se/videos/nosad-20210112-policy-oppen-programvara-myndigheter-1920x1080.mp4
https://www.wikidata.org/wiki/Q10567910,Litterturbanken,https://www.wikidata.org/wiki/Q114338455,Johan Roxendahl,Länkade data,01:05:00,Q515701,https://github.com/Litteraturbanken/littb-frontend,,,,https://www.youtube-nocookie.com/embed/fkgKoN0NkeM/
https://www.wikidata.org/wiki/Q371522,Göteborgs Universitet,,"Wilhelm Åkesson, Kevin Dee Boman",API praktiken Jypiter notebook och Open API Swagger,50:30:00,"Q70357595, Q7095934, Q39069667",https://github.com/kevindeeboman/masters_project,,,,https://www.youtube-nocookie.com/embed/sfWWPpTysjk
https://www.wikidata.org/wiki/Q52502,Göteborgs stad,https://www.wikidata.org/wiki/Q114313323,Kim Lantto,Öppen källkod som bas i den digitala allemansrätten,55:00:00,"Q39162, Q114350971",,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q114244071,Handlingar.se,https://www.wikidata.org/wiki/Q114244089,Elinor Wijmar,Offentlighetsprincipen,56:55:00,Q10607870,,,,,https://data.jobtechdev.se/videos/nosad-20210615-offentlighetsprincipen-2736x1744.mp4
https://www.wikidata.org/wiki/Q108550602,Hagström Consulting,https://www.wikidata.org/wiki/Q96106781,Björn Hagström,Öppna standarder,54:20:00,Q681263,,2021-05-04,https://nosad.se/workshops#%C3%B6ppna-standarder,,https://www.youtube-nocookie.com/embed/W1k12G4stdA/
https://www.wikidata.org/wiki/Q487648,Helsingborgs Stad,,Dimitrij Aleshkov,Introduktion till öppen programvara,01:08:45,Q39162,,,,,https://www.youtube.com/watch?v=jxxiqFyZhDU
https://www.wikidata.org/wiki/Q1464114,Högskolan i Skövde,https://www.wikidata.org/wiki/Q104785244,Björn Lundell,Öppna standarder,08:00,Q681263,,2021-05-04,https://nosad.se/workshops#%C3%B6ppna-standarder,,https://www.youtube-nocookie.com/embed/W1k12G4stdA/
https://www.wikidata.org/wiki/Q1464114,Högskolan i Skövde,https://www.wikidata.org/wiki/Q104785244,Björn Lundell,Policy för öppen programvara,35:40:00,Q39162,,,,,https://data.jobtechdev.se/videos/nosad-20210112-policy-oppen-programvara-myndigheter-1920x1080.mp4
https://www.wikidata.org/wiki/Q30295784,Innovation Pioneers,,,Hackathons och innovationstävlingar,,Q46855,,,,,https://data.jobtechdev.se/videos/nosad-20201208-hackathons-1920x1080.mp4
https://www.wikidata.org/wiki/Q10679862,Internetstiftelsen,,Daniel Dersén,Förvaltning öppna data,52:00:00,Q309901,,,,,https://data.jobtechdev.se/videos/nosad-20201103-forvaltning-och-ansvar-3440x1440.mp4
